RECID=R2017103970000003	阿SIR	āSIR
RECID=R2017103970000105	罢驶	bàshǐ
RECID=R2017103970000106	罢踢	bàtī
RECID=R2017103970000107	罢网	bàwǎnɡ
RECID=R2017103970000108	罢演	bàyǎn
RECID=R2017103970000109	霸气	bàqì
RECID=R2017103970000110	霸王车	bàwánɡchē
RECID=R2017103970000111	霸王饭	bàwánɡfàn
RECID=R2017103970000112	霸王房	bàwánɡfánɡ
RECID=R2017103970000113	霸王条款	bàwánɡtiáokuǎn
RECID=R2017103970000114	霸型	bàxínɡ
RECID=R2017103970000116	白榜	báibǎnɡ
RECID=R2017103970000117	白度	báidù
RECID=R2017103970000118	白发浪潮	báifàlànɡcháo
RECID=R2017103970000119	白骨精	báiɡǔjīnɡ
RECID=R2017103970000120	白技	báijì
RECID=R2017103970000121	白金唱片	báijīnchànɡpiàn
RECID=R2017103970000122	白金汉	báijīnhàn
RECID=R2017103970000123	白金剩女	báijīnshènɡnǚ
RECID=R2017103970000124	白礼	báilǐ
RECID=R2017103970000125	白亮污染	báiliànɡwūrǎn
RECID=R2017103970000126	白领	báilǐnɡ
RECID=R2017103970000127	白领餐	báilǐnɡcān
RECID=R2017103970000128	白领地主	báilǐnɡdìzhǔ
RECID=R2017103970000129	白领犯罪	báilǐnɡfànzuì
RECID=R2017103970000130	白领化	báilǐnɡhuà
RECID=R2017103970000131	白领丽人	báilǐnɡlìrén
RECID=R2017103970000132	白领农民	báilǐnɡnónɡmín
RECID=R2017103970000133	白领囚犯	báilǐnɡqiúfàn
RECID=R2017103970000134	白判	báipàn
RECID=R2017103970000135	白色革命	báisèɡémìnɡ
RECID=R2017103970000136	白色公害	báisèɡōnɡhài
RECID=R2017103970000137	白色垃圾	báisèlājī
RECID=R2017103970000138	白色浪费	báisèlànɡfèi
RECID=R2017103970000139	白色农业	báisènónɡyè
RECID=R2017103970000140	白色情人节	BáisèQínɡrénJié
RECID=R2017103970000141	白色收入	báisèshōurù
RECID=R2017103970000142	白色污染	báisèwūrǎn
RECID=R2017103970000143	白色消费	báisèxiāofèi
RECID=R2017103970000144	白市	báishì
RECID=R2017103970000145	白条财政	báitiáocáizhènɡ
RECID=R2017103970000146	白屋计划	BáiwūJìhuà
RECID=R2017103970000147	白页	báiyè
RECID=R2017103970000148	白灾	báizāi
RECID=R2017103970000149	拜拜	báibái
RECID=R2017103970000150	百度	Bǎidù
RECID=R2017103970000151	百分点	bǎifēndiǎn
RECID=R2017103970000152	百谷虎	Bǎiɡǔhǔ
RECID=R2017103970000153	百利包	bǎilìbāo
RECID=R2017103970000154	百姓生活游	bǎixìnɡshēnɡhuó-yóu
RECID=R2017103970000155	百元游	bǎiyuányóu
RECID=R2017103970000156	摆赌	bǎidǔ
RECID=R2017103970000157	摆渡	bǎidù
RECID=R2017103970000158	摆婚	bǎihūn
RECID=R2017103970000159	摆拍	bǎipāi
RECID=R2017103970000160	摆派	bǎipài
RECID=R2017103970000161	摆剖丝	bǎipōusi
RECID=R2017103970000162	摆台	bǎitái
RECID=R2017103970000163	摆桌	bǎizhuō
RECID=R2017103970000164	败果	bàiɡuǒ
RECID=R2017103970000165	败选	bàixuǎn
RECID=R2017103970000166	败因	bàiyīn
RECID=R2017103970000167	败誉	bàiyù
RECID=R2017103970000168	拜客	bàikè
RECID=R2017103970000169	拜年封	bàiniánfēnɡ
RECID=R2017103970000170	拜年话	bàiniánhuà
RECID=R2017103970000171	拜年会	bàiniánhuì
RECID=R2017103970000172	拜星	bàixīnɡ
RECID=R2017103970000174	扳平	bānpínɡ
RECID=R2017103970000175	班霸	bānbà
RECID=R2017103970000176	班奴	bānnú
RECID=R2017103970000177	班奴风	bānnúfēnɡ
RECID=R2017103970000178	班长	bānzhǎnɡ
RECID=R2017103970000179	颁授	bānshòu
RECID=R2017103970000180	颁赠	bānzènɡ
RECID=R2017103970000181	搬迁户	bānqiānhù
RECID=R2017103970000182	板寸	bǎncùn
RECID=R2017103970000183	板块	bǎnkuài
RECID=R2017103970000184	板楼	bǎnlóu
RECID=R2017103970000185	板儿爷	bǎnryé
RECID=R2017103970000186	板爷	bǎnyé
RECID=R2017103970000187	版本	bǎnběn
RECID=R2017103970000188	办	bàn
RECID=R2017103970000189	办公室健身操	bànɡōnɡshìjiàn-shēncāo
RECID=R2017103970000190	办公自动化	bànɡōnɡzìdònɡ-huà
RECID=R2017103970000191	办公自动化系统	bànɡōnɡzì-dònɡhuàxì-tǒnɡ
RECID=R2017103970000192	办会	bànhuì
RECID=R2017103970000193	办结	bànjié
RECID=R2017103970000194	办考	bànkǎo
RECID=R2017103970000195	办展	bànzhǎn
RECID=R2017103970000196	办证	bànzhènɡ
RECID=R2017103970000197	半仓	bàncānɡ
RECID=R2017103970000198	半跪式服务	bànɡuìshìfúwù
RECID=R2017103970000199	半命题作文	bànmìnɡtízuòwén
RECID=R2017103970000200	半漂族	bànpiāozú
RECID=R2017103970000201	扮靓	bànliànɡ
RECID=R2017103970000202	扮蔻	bànkòu
RECID=R2017103970000203	扮酷	bànkù
RECID=R2017103970000204	扮饰	bànshì
RECID=R2017103970000205	伴伺	bàncì
RECID=R2017103970000206	伴和	bànhè
RECID=R2017103970000207	伴侣动物	bànlǚdònɡwù
RECID=R2017103970000208	伴声	bànshēnɡ
RECID=R2017103970000209	伴舞	bànwǔ
RECID=R2017103970000210	伴宴	bànyàn
RECID=R2017103970000211	伴音	bànyīn
RECID=R2017103970000212	伴游	bànyóu
RECID=R2017103970000214	邦民	bānɡmín
RECID=R2017103970000215	邦瘾	bānɡyǐn
RECID=R2017103970000216	邦友	bānɡyǒn
RECID=R2017103970000217	帮帮族	bānɡbānɡzú
RECID=R2017103970000218	帮别	bānɡbié
RECID=R2017103970000219	帮菜	bānɡcài
RECID=R2017103970000220	帮持	bānɡchí
RECID=R2017103970000221	帮凑	bānɡcòu
RECID=R2017103970000222	帮扶	bānɡfú
RECID=R2017103970000223	帮护	bānɡhù
RECID=R2017103970000224	帮困	bānɡkùn
RECID=R2017103970000225	帮贫	bānɡpín
RECID=R2017103970000226	榜主	bǎnɡzhǔ
RECID=R2017103970000227	膀爷	bǎnɡyé
RECID=R2017103970000228	棒联	Bànɡlián
RECID=R2017103970000229	棒协	Bànɡxié
RECID=R2017103970000230	傍傍族	bànɡbànɡzú
RECID=R2017103970000231	傍大官	bànɡdàɡuān
RECID=R2017103970000232	傍名人	bànɡmínɡrén
RECID=R2017103970000234	包吧	bāobā
RECID=R2017103970000235	包保	bāobǎo
RECID=R2017103970000236	包餐	bāocān
RECID=R2017103970000237	包扶	bāofú
RECID=R2017103970000238	包扶户	bāofúhù
RECID=R2017103970000239	包购	bāoɡòu
RECID=R2017103970000240	包间	bāojiān
RECID=R2017103970000241	包检	bāojiǎn
RECID=R2017103970000242	包空	bāokōnɡ
RECID=R2017103970000243	包片	bāopiàn
RECID=R2017103970000244	包师	bāoshī
RECID=R2017103970000245	包修	bāoxiū
RECID=R2017103970000246	包装	bāozhuānɡ
RECID=R2017103970000247	包装广告	bāozhuānɡɡuǎnɡɡào
RECID=R2017103970000248	包桌	bāozhuō
RECID=R2017103970000249	煲电话粥	bāodiànhuàzhōu
RECID=R2017103970000250	煲手机粥	bāoshǒujīzhōu
RECID=R2017103970000251	煲网	bāowǎnɡ
RECID=R2017103970000252	褒评	bāopínɡ
RECID=R2017103970000253	褒誉	bāoyù
RECID=R2017103970000254	宝宝手机	bǎobɑoshǒujī
RECID=R2017103970000255	保安	bǎo’ān
RECID=R2017103970000256	保安嫂	bǎo’ānsǎo
RECID=R2017103970000257	保本菜	bǎoběncài
RECID=R2017103970000258	保单	bǎodān
RECID=R2017103970000259	保底	bǎodǐ
RECID=R2017103970000260	保钓运动	BǎoDiàoYùndònɡ
RECID=R2017103970000261	保费	bǎofèi
RECID=R2017103970000262	保户	bǎohù
RECID=R2017103970000263	保护层	bǎohùcénɡ
RECID=R2017103970000264	保护价	bǎohùjià
RECID=R2017103970000265	保护伞	bǎohùsǎn
RECID=R2017103970000266	保护衣	bǎohùyī
RECID=R2017103970000267	保级	bǎojí
RECID=R2017103970000268	保假	bǎojiǎ
RECID=R2017103970000269	保健菜	bǎojiàncài
RECID=R2017103970000270	保健服装	bǎojiànfúzhuānɡ
RECID=R2017103970000271	保健功	bǎojiànɡōnɡ
RECID=R2017103970000272	保健球	bǎojiànqiú
RECID=R2017103970000273	保健食品	bǎojiànshípǐn
RECID=R2017103970000274	保健网	bǎojiànwǎnɡ
RECID=R2017103970000275	保健药品	bǎojiànyàopǐn
RECID=R2017103970000276	保健饮料	bǎojiànyǐnliào
RECID=R2017103970000277	保理	bǎolǐ
RECID=R2017103970000278	保廉	bǎolián
RECID=R2017103970000279	保姆市场	bǎomǔshìchǎnɡ
RECID=R2017103970000280	保暖内衣	bǎonuǎnnèiyī
RECID=R2017103970000281	保湿族	bǎoshīzú
RECID=R2017103970000282	保税区	bǎoshuìqū
RECID=R2017103970000283	保险费	bǎoxiǎnfèi
RECID=R2017103970000284	保险肉	bǎoxiǎnròu
RECID=R2017103970000285	保障房	bǎozhànɡfánɡ
RECID=R2017103970000286	保值	bǎozhí
RECID=R2017103970000287	保组	bǎozǔ
RECID=R2017103970000288	报发户	bàofāhù
RECID=R2017103970000289	报建	bàojiàn
RECID=R2017103970000290	报料	bàoliào
RECID=R2017103970000291	报领	bàolǐnɡ
RECID=R2017103970000292	报庆	bàoqìnɡ
RECID=R2017103970000293	报嫂	bàosǎo
RECID=R2017103970000294	报审	bàoshěn
RECID=R2017103970000295	报收	bàoshōu
RECID=R2017103970000296	报坛	bàotán
RECID=R2017103970000297	报验	bàoyàn
RECID=R2017103970000298	抱金娃娃	bàojīnwáwɑ
RECID=R2017103970000299	暴跌	bàodiē
RECID=R2017103970000300	暴侃	bàokǎn
RECID=R2017103970000301	暴冷	bàolěnɡ
RECID=R2017103970000302	暴力慈善	bàolìcíshàn
RECID=R2017103970000303	暴力电影	bàolìdiànyǐnɡ
RECID=R2017103970000304	暴力片	bàolìpiàn
RECID=R2017103970000305	暴力游戏	bàolìyóuxì
RECID=R2017103970000306	暴露	bàolù
RECID=R2017103970000307	暴热	bàorè
RECID=R2017103970000308	暴现	bàoxiàn
RECID=R2017103970000309	暴泻	bàoxiè
RECID=R2017103970000310	暴增	bàozēnɡ
RECID=R2017103970000311	暴走	bàozǒu
RECID=R2017103970000312	暴走妈妈	bàozǒumāmɑ
RECID=R2017103970000313	暴走族	bàozǒuzú
RECID=R2017103970000314	曝光	bàoɡuānɡ
RECID=R2017103970000315	爆炒	bàochǎo
RECID=R2017103970000316	爆出	bàochū
RECID=R2017103970000317	爆冷	bàolěnɡ
RECID=R2017103970000318	爆冷门	bàolěnɡmén
RECID=R2017103970000319	爆满	bàomǎn
RECID=R2017103970000320	爆棚	bàopénɡ
RECID=R2017103970000321	爆燃	bàorán
RECID=R2017103970000322	爆响	bàoxiǎnɡ
RECID=R2017103970000323	爆笑	bàoxiào
RECID=R2017103970000324	爆心	bàoxīn
RECID=R2017103970000325	爆炸	bàozhà
RECID=R2017103970000326	爆炸性新闻	bàozhàxìnɡxīnwén
RECID=R2017103970000328	杯具	bēijù
RECID=R2017103970000329	杯面	bēimiàn
RECID=R2017103970000330	杯赛	bēisài
RECID=R2017103970000331	杯洗具	bēi-xǐjù
RECID=R2017103970000332	背包族	bēibāozú
RECID=R2017103970000333	背黑族	bēihēizú
RECID=R2017103970000334	背卡族	bēikǎzú
RECID=R2017103970000335	背奶	bēinǎi
RECID=R2017103970000336	悲催	bēicuī
RECID=R2017103970000337	北京精神	Běijīnɡjīnɡshén
RECID=R2017103970000338	北京主义	Běijīnɡzhǔyì
RECID=R2017103970000339	北漂族	Běipiāozú
RECID=R2017103970000340	北约	Běiyuē
RECID=R2017103970000341	备份	bèifèn
RECID=R2017103970000342	备供	bèiɡōnɡ
RECID=R2017103970000343	备航	bèihánɡ
RECID=R2017103970000344	备选	bèixuǎn
RECID=R2017103970000345	备孕帖	bèiyùntiě
RECID=R2017103970000346	备灾	bèizāi
RECID=R2017103970000347	背投	bèitóu
RECID=R2017103970000348	被出国	bèichūɡuó
RECID=R2017103970000349	被慈善	bèicíshàn
RECID=R2017103970000350	被代表	bèidàibiǎo
RECID=R2017103970000351	被当爸	bèidānɡbà
RECID=R2017103970000352	被第一	bèidìyī
RECID=R2017103970000353	被复出	bèifùchū
RECID=R2017103970000354	被富裕	bèifùyù
RECID=R2017103970000355	被股东	bèiɡǔdōnɡ
RECID=R2017103970000356	被冠军	bèiɡuànjūn
RECID=R2017103970000357	被坚强	bèijiānqiánɡ
RECID=R2017103970000358	被姜军	bèijiānɡjūn
RECID=R2017103970000359	被叫	bèijiào
RECID=R2017103970000360	被捐款	bèijuānkuǎn
RECID=R2017103970000361	被联盟	bèiliánménɡ
RECID=R2017103970000362	被留学	bèiliúxué
RECID=R2017103970000363	被满意	bèimǎnyì
RECID=R2017103970000364	被民意	bèimínyì
RECID=R2017103970000365	被贫血	bèipínxuě
RECID=R2017103970000366	被潜门	bèiqiánmén
RECID=R2017103970000367	被全勤	bèiquánqín
RECID=R2017103970000368	被山寨	bèishānzhài
RECID=R2017103970000369	被上楼	bèishànɡlóu
RECID=R2017103970000370	被上市	bèishànɡshì
RECID=R2017103970000371	被上网	bèishànɡwǎnɡ
RECID=R2017103970000372	被时代	bèishídài
RECID=R2017103970000373	被逝世	bèishìshì
RECID=R2017103970000374	被署名	bèishǔmínɡ
RECID=R2017103970000375	被死亡	bèisǐwánɡ
RECID=R2017103970000376	被网瘾	bèiwǎnɡyǐn
RECID=R2017103970000377	被现房	bèixiànfánɡ
RECID=R2017103970000378	被小康	bèixiǎokānɡ
RECID=R2017103970000379	被小三	bèixiǎosān
RECID=R2017103970000380	被医保	bèiyībǎo
RECID=R2017103970000381	被增长	bèizēnɡzhǎnɡ
RECID=R2017103970000382	被自杀	bèizìshā
RECID=R2017103970000383	被自愿	bèizìyuàn
RECID=R2017103970000384	被作弊	bèizuòbì
RECID=R2017103970000386	奔奔族	bēnbēnzú
RECID=R2017103970000387	奔发	bēnfā
RECID=R2017103970000388	本帮菜	běnbānɡcài
RECID=R2017103970000389	本本族	běnběnzú
RECID=R2017103970000390	本地游	běndìyóu
RECID=R2017103970000391	本岗	běnɡǎnɡ
RECID=R2017103970000392	本貌	běnmào
RECID=R2017103970000393	本体	běntǐ
RECID=R2017103970000394	本土电影	běntǔdiànyǐnɡ
RECID=R2017103970000395	本土化	běntǔhuà
RECID=R2017103970000397	崩克	bēnɡkè
RECID=R2017103970000398	崩盘	bēnɡpán
RECID=R2017103970000399	崩泻	bēnɡxiè
RECID=R2017103970000400	蹦迪	bènɡdí
RECID=R2017103970000401	蹦极	bènɡjí
RECID=R2017103970000402	蹦极电影	bènɡjídiànyǐnɡ
RECID=R2017103970000403	蹦极跳	bènɡjítiào
RECID=R2017103970000405	逼害	bīhài
RECID=R2017103970000406	逼切	bīqiè
RECID=R2017103970000407	逼索	bīsuǒ
RECID=R2017103970000408	鼻影	bíyǐnɡ
RECID=R2017103970000409	比婚女	bǐhūnnǚ
RECID=R2017103970000410	比基尼	bǐjīní
RECID=R2017103970000411	比萨饼	bǐsàbǐnɡ
RECID=R2017103970000412	比特币	bǐtèbì
RECID=R2017103970000413	笔记本	bǐjìběn
RECID=R2017103970000414	笔记本电脑	bǐjìběndiànnǎo
RECID=R2017103970000415	笔相	bǐxiànɡ
RECID=R2017103970000416	币市	bìshì
RECID=R2017103970000417	必应	Bìyīnɡ
RECID=R2017103970000418	毕婚族	bìhūnzú
RECID=R2017103970000419	毕漂族	bìpiāozú
RECID=R2017103970000420	毕生子	bìshēnɡzǐ
RECID=R2017103970000421	毕剩客	bìshènɡkè
RECID=R2017103970000422	毕业叫	bìyèjiào
RECID=R2017103970000423	毕业逃债族	bìyètáozhàizú
RECID=R2017103970000424	闭关族	bìɡuānzú
RECID=R2017103970000425	闭馆	bìɡuǎn
RECID=R2017103970000426	闭镜	bìjìnɡ
RECID=R2017103970000427	闭锁	bìsuǒ
RECID=R2017103970000428	闭营	bìyínɡ
RECID=R2017103970000429	弊案	bì’àn
RECID=R2017103970000430	壁挂电视	bìɡuàdiànshì
RECID=R2017103970000431	壁挂式电视	bìɡuàshìdiànshì
RECID=R2017103970000432	壁花	bìhuā
RECID=R2017103970000433	避峰	bìfēnɡ
RECID=R2017103970000434	避雷手机	bìléishǒujī
RECID=R2017103970000435	避税	bìshuì
RECID=R2017103970000437	边裁	biāncái
RECID=R2017103970000438	边检	biānjiǎn
RECID=R2017103970000439	边警	biānjǐnɡ
RECID=R2017103970000440	边缘化	biānyuánhuà
RECID=R2017103970000441	边缘话剧	biānyuánhuàjù
RECID=R2017103970000442	边缘情感	biānyuánqínɡɡǎn
RECID=R2017103970000443	边缘人	biānyuánrén
RECID=R2017103970000444	边缘生活	biānyuánshēnɡhuó
RECID=R2017103970000445	边缘文学	biānyuánwénxué
RECID=R2017103970000446	边缘艺术	biānyuányìshù
RECID=R2017103970000447	编报	biānbào
RECID=R2017103970000448	编播	biānbō
RECID=R2017103970000449	编采	biāncǎi
RECID=R2017103970000450	编唱	biānchànɡ
RECID=R2017103970000451	编创	biānchuànɡ
RECID=R2017103970000452	编导	biāndǎo
RECID=R2017103970000453	编绘	biānhuì
RECID=R2017103970000454	编集	biānjí
RECID=R2017103970000455	编码	biānmǎ
RECID=R2017103970000456	编内	biānnèi
RECID=R2017103970000457	编拍	biānpāi
RECID=R2017103970000458	编外	biānwài
RECID=R2017103970000459	编外市民	biānwàishìmín
RECID=R2017103970000460	编印	biānyìn
RECID=R2017103970000461	贬毁	biǎnhuǐ
RECID=R2017103970000462	变色婴儿服	biànsèyīnɡ’érfú
RECID=R2017103970000463	变现	biànxiàn
RECID=R2017103970000464	变性	biànxìnɡ
RECID=R2017103970000465	便当	biàndānɡ
RECID=R2017103970000466	便利店	biànlìdiàn
RECID=R2017103970000467	便民	biànmín
RECID=R2017103970000468	便民金融	biànmínjīnrónɡ
RECID=R2017103970000469	便携	biànxié
RECID=R2017103970000470	便携式	biànxiéshì
RECID=R2017103970000471	辨察	biànchá
RECID=R2017103970000472	辨温	biànwēn
RECID=R2017103970000473	辩称	biànchēnɡ
RECID=R2017103970000474	辩论赛	biànlùnsài
RECID=R2017103970000475	辩赛	biànsài
RECID=R2017103970000476	辩手	biànshǒu
RECID=R2017103970000477	辩诉交易	biàn-sùjiāoyì
RECID=R2017103970000478	辩题	biàntí
RECID=R2017103970000479	辩友	biànyǒu
RECID=R2017103970000481	标步	biāobù
RECID=R2017103970000482	标房	biāofánɡ
RECID=R2017103970000483	标徽	biāohuī
RECID=R2017103970000484	标间	biāojiān
RECID=R2017103970000485	标牌	biāopái
RECID=R2017103970000486	标题党	biāotídǎnɡ
RECID=R2017103970000487	标题族	biāotízú
RECID=R2017103970000488	标贴	biāotiē
RECID=R2017103970000489	标王	biāowánɡ
RECID=R2017103970000490	标线	biāoxiàn
RECID=R2017103970000491	标箱	biāoxiānɡ
RECID=R2017103970000492	标样	biāoyànɡ
RECID=R2017103970000493	标志产品	biāozhìchǎnpǐn
RECID=R2017103970000494	标志服	biāozhìfú
RECID=R2017103970000495	标志性工程	biāozhìxìnɡɡōnɡ-chénɡ
RECID=R2017103970000496	标准家庭	biāozhǔnjiātínɡ
RECID=R2017103970000497	标准间	biāozhǔnjiān
RECID=R2017103970000498	标准舞	biāozhǔnwǔ
RECID=R2017103970000499	标准信封	biāozhǔnxìnfēnɡ
RECID=R2017103970000500	飙爱族	biāo’àizú
RECID=R2017103970000501	飙车	biāochē
RECID=R2017103970000502	飙歌	biāoɡē
RECID=R2017103970000503	飙泪公关	biāolèiɡōnɡɡuān
RECID=R2017103970000504	飙升	biāoshēnɡ
RECID=R2017103970000505	飙信	biāoxìn
RECID=R2017103970000506	表情帝	biǎoqínɡdì
RECID=R2017103970000507	表演赛	biǎoyǎnsài
RECID=R2017103970000509	憋屈	biēqū
RECID=R2017103970000511	宾馆式	bīnɡuǎnshì
RECID=R2017103970000512	濒绝	bīnjué
RECID=R2017103970000514	冰吧	bīnɡbā
RECID=R2017103970000515	冰茶	bīnɡchá
RECID=R2017103970000516	冰点	bīnɡdiǎn
RECID=R2017103970000517	冰雕	bīnɡdiāo
RECID=R2017103970000518	冰钓	bīnɡdiào
RECID=R2017103970000519	冰宫	bīnɡɡōnɡ
RECID=R2017103970000520	冰谷	bīnɡɡǔ
RECID=R2017103970000521	冰后	bīnɡhòu
RECID=R2017103970000522	冰景	bīnɡjǐnɡ
RECID=R2017103970000523	冰酒	bīnɡjiǔ
RECID=R2017103970000524	冰凉感	bīnɡliánɡɡǎn
RECID=R2017103970000525	冰露	bīnɡlù
RECID=R2017103970000526	冰啤	bīnɡpí
RECID=R2017103970000527	冰淇淋文学	bīnɡqílínwénxué
RECID=R2017103970000528	冰食	bīnɡshí
RECID=R2017103970000529	冰室	bīnɡshì
RECID=R2017103970000530	冰塑	bīnɡsù
RECID=R2017103970000531	冰温食品	bīnɡwēnshípǐn
RECID=R2017103970000532	冰屋	bīnɡwū
RECID=R2017103970000533	冰舞	bīnɡwǔ
RECID=R2017103970000534	冰箱病	bīnɡxiānɡbìnɡ
RECID=R2017103970000535	冰箱综合征	bīnɡxiānɡzōnɡhé-zhēnɡ
RECID=R2017103970000536	冰协	Bīnɡxié
RECID=R2017103970000537	冰星	bīnɡxīnɡ
RECID=R2017103970000538	冰雪节	BīnɡxuěJié
RECID=R2017103970000539	冰原	bīnɡyuán
RECID=R2017103970000540	并案	bìnɡ’àn
RECID=R2017103970000541	并处	bìnɡchǔ
RECID=R2017103970000542	并轨	bìnɡɡuǐ
RECID=R2017103970000543	并网	bìnɡwǎnɡ
RECID=R2017103970000544	并转	bìnɡzhuǎn
RECID=R2017103970000545	病车	bìnɡchē
RECID=R2017103970000546	病德	bìnɡdé
RECID=R2017103970000547	病毒	bìnɡdú
RECID=R2017103970000548	病倦	bìnɡjuàn
RECID=R2017103970000549	病理性上网	bìnɡlǐxìnɡshànɡ-wǎnɡ
RECID=R2017103970000550	病料	bìnɡliào
RECID=R2017103970000551	病书	bìnɡshū
RECID=R2017103970000552	病态建筑物综合征	bìnɡtàijiànzhùwùzōnɡhézhēnɡ
RECID=R2017103970000554	拨叫	bōjiào
RECID=R2017103970000555	波	bō
RECID=R2017103970000556	波霸	bōbà
RECID=R2017103970000557	波波族	bōbōzú
RECID=R2017103970000558	波皮族	bōpízú
RECID=R2017103970000559	波手	bōshǒu
RECID=R2017103970000560	玻刻	bōkè
RECID=R2017103970000561	玻璃吧	bōlibā
RECID=R2017103970000562	玻璃门	bōlimén
